file,width,height,format,mode,source,aspect_ratio
103.png,1024,1024,PNG,RGB,mvtec,1.0
107.png,1024,1024,PNG,RGB,mvtec,1.0
113.png,1024,1024,PNG,RGB,mvtec,1.0
073.png,1024,1024,PNG,RGB,mvtec,1.0
067.png,1024,1024,PNG,RGB,mvtec,1.0
098.png,1024,1024,PNG,RGB,mvtec,1.0
099.png,1024,1024,PNG,RGB,mvtec,1.0
066.png,1024,1024,PNG,RGB,mvtec,1.0
072.png,1024,1024,PNG,RGB,mvtec,1.0
112.png,1024,1024,PNG,RGB,mvtec,1.0
106.png,1024,1024,PNG,RGB,mvtec,1.0
110.png,1024,1024,PNG,RGB,mvtec,1.0
104.png,1024,1024,PNG,RGB,mvtec,1.0
138.png,1024,1024,PNG,RGB,mvtec,1.0
064.png,1024,1024,PNG,RGB,mvtec,1.0
070.png,1024,1024,PNG,RGB,mvtec,1.0
058.png,1024,1024,PNG,RGB,mvtec,1.0
059.png,1024,1024,PNG,RGB,mvtec,1.0
071.png,1024,1024,PNG,RGB,mvtec,1.0
065.png,1024,1024,PNG,RGB,mvtec,1.0
139.png,1024,1024,PNG,RGB,mvtec,1.0
105.png,1024,1024,PNG,RGB,mvtec,1.0
111.png,1024,1024,PNG,RGB,mvtec,1.0
108.png,1024,1024,PNG,RGB,mvtec,1.0
134.png,1024,1024,PNG,RGB,mvtec,1.0
120.png,1024,1024,PNG,RGB,mvtec,1.0
068.png,1024,1024,PNG,RGB,mvtec,1.0
040.png,1024,1024,PNG,RGB,mvtec,1.0
054.png,1024,1024,PNG,RGB,mvtec,1.0
083.png,1024,1024,PNG,RGB,mvtec,1.0
097.png,1024,1024,PNG,RGB,mvtec,1.0
096.png,1024,1024,PNG,RGB,mvtec,1.0
082.png,1024,1024,PNG,RGB,mvtec,1.0
055.png,1024,1024,PNG,RGB,mvtec,1.0
041.png,1024,1024,PNG,RGB,mvtec,1.0
069.png,1024,1024,PNG,RGB,mvtec,1.0
121.png,1024,1024,PNG,RGB,mvtec,1.0
135.png,1024,1024,PNG,RGB,mvtec,1.0
109.png,1024,1024,PNG,RGB,mvtec,1.0
123.png,1024,1024,PNG,RGB,mvtec,1.0
137.png,1024,1024,PNG,RGB,mvtec,1.0
057.png,1024,1024,PNG,RGB,mvtec,1.0
043.png,1024,1024,PNG,RGB,mvtec,1.0
094.png,1024,1024,PNG,RGB,mvtec,1.0
080.png,1024,1024,PNG,RGB,mvtec,1.0
081.png,1024,1024,PNG,RGB,mvtec,1.0
095.png,1024,1024,PNG,RGB,mvtec,1.0
042.png,1024,1024,PNG,RGB,mvtec,1.0
056.png,1024,1024,PNG,RGB,mvtec,1.0
136.png,1024,1024,PNG,RGB,mvtec,1.0
122.png,1024,1024,PNG,RGB,mvtec,1.0
126.png,1024,1024,PNG,RGB,mvtec,1.0
132.png,1024,1024,PNG,RGB,mvtec,1.0
052.png,1024,1024,PNG,RGB,mvtec,1.0
046.png,1024,1024,PNG,RGB,mvtec,1.0
091.png,1024,1024,PNG,RGB,mvtec,1.0
085.png,1024,1024,PNG,RGB,mvtec,1.0
084.png,1024,1024,PNG,RGB,mvtec,1.0
090.png,1024,1024,PNG,RGB,mvtec,1.0
047.png,1024,1024,PNG,RGB,mvtec,1.0
053.png,1024,1024,PNG,RGB,mvtec,1.0
133.png,1024,1024,PNG,RGB,mvtec,1.0
127.png,1024,1024,PNG,RGB,mvtec,1.0
131.png,1024,1024,PNG,RGB,mvtec,1.0
125.png,1024,1024,PNG,RGB,mvtec,1.0
119.png,1024,1024,PNG,RGB,mvtec,1.0
045.png,1024,1024,PNG,RGB,mvtec,1.0
051.png,1024,1024,PNG,RGB,mvtec,1.0
079.png,1024,1024,PNG,RGB,mvtec,1.0
086.png,1024,1024,PNG,RGB,mvtec,1.0
092.png,1024,1024,PNG,RGB,mvtec,1.0
093.png,1024,1024,PNG,RGB,mvtec,1.0
087.png,1024,1024,PNG,RGB,mvtec,1.0
078.png,1024,1024,PNG,RGB,mvtec,1.0
050.png,1024,1024,PNG,RGB,mvtec,1.0
044.png,1024,1024,PNG,RGB,mvtec,1.0
118.png,1024,1024,PNG,RGB,mvtec,1.0
124.png,1024,1024,PNG,RGB,mvtec,1.0
130.png,1024,1024,PNG,RGB,mvtec,1.0
157.png,1024,1024,PNG,RGB,mvtec,1.0
143.png,1024,1024,PNG,RGB,mvtec,1.0
194.png,1024,1024,PNG,RGB,mvtec,1.0
180.png,1024,1024,PNG,RGB,mvtec,1.0
023.png,1024,1024,PNG,RGB,mvtec,1.0
037.png,1024,1024,PNG,RGB,mvtec,1.0
209.png,1024,1024,PNG,RGB,mvtec,1.0
208.png,1024,1024,PNG,RGB,mvtec,1.0
036.png,1024,1024,PNG,RGB,mvtec,1.0
022.png,1024,1024,PNG,RGB,mvtec,1.0
181.png,1024,1024,PNG,RGB,mvtec,1.0
195.png,1024,1024,PNG,RGB,mvtec,1.0
142.png,1024,1024,PNG,RGB,mvtec,1.0
156.png,1024,1024,PNG,RGB,mvtec,1.0
168.png,1024,1024,PNG,RGB,mvtec,1.0
140.png,1024,1024,PNG,RGB,mvtec,1.0
154.png,1024,1024,PNG,RGB,mvtec,1.0
183.png,1024,1024,PNG,RGB,mvtec,1.0
197.png,1024,1024,PNG,RGB,mvtec,1.0
008.png,1024,1024,PNG,RGB,mvtec,1.0
034.png,1024,1024,PNG,RGB,mvtec,1.0
020.png,1024,1024,PNG,RGB,mvtec,1.0
021.png,1024,1024,PNG,RGB,mvtec,1.0
035.png,1024,1024,PNG,RGB,mvtec,1.0
009.png,1024,1024,PNG,RGB,mvtec,1.0
196.png,1024,1024,PNG,RGB,mvtec,1.0
182.png,1024,1024,PNG,RGB,mvtec,1.0
155.png,1024,1024,PNG,RGB,mvtec,1.0
141.png,1024,1024,PNG,RGB,mvtec,1.0
169.png,1024,1024,PNG,RGB,mvtec,1.0
145.png,1024,1024,PNG,RGB,mvtec,1.0
151.png,1024,1024,PNG,RGB,mvtec,1.0
179.png,1024,1024,PNG,RGB,mvtec,1.0
186.png,1024,1024,PNG,RGB,mvtec,1.0
192.png,1024,1024,PNG,RGB,mvtec,1.0
031.png,1024,1024,PNG,RGB,mvtec,1.0
025.png,1024,1024,PNG,RGB,mvtec,1.0
019.png,1024,1024,PNG,RGB,mvtec,1.0
018.png,1024,1024,PNG,RGB,mvtec,1.0
024.png,1024,1024,PNG,RGB,mvtec,1.0
030.png,1024,1024,PNG,RGB,mvtec,1.0
193.png,1024,1024,PNG,RGB,mvtec,1.0
187.png,1024,1024,PNG,RGB,mvtec,1.0
178.png,1024,1024,PNG,RGB,mvtec,1.0
150.png,1024,1024,PNG,RGB,mvtec,1.0
144.png,1024,1024,PNG,RGB,mvtec,1.0
152.png,1024,1024,PNG,RGB,mvtec,1.0
146.png,1024,1024,PNG,RGB,mvtec,1.0
191.png,1024,1024,PNG,RGB,mvtec,1.0
185.png,1024,1024,PNG,RGB,mvtec,1.0
026.png,1024,1024,PNG,RGB,mvtec,1.0
032.png,1024,1024,PNG,RGB,mvtec,1.0
033.png,1024,1024,PNG,RGB,mvtec,1.0
027.png,1024,1024,PNG,RGB,mvtec,1.0
184.png,1024,1024,PNG,RGB,mvtec,1.0
190.png,1024,1024,PNG,RGB,mvtec,1.0
147.png,1024,1024,PNG,RGB,mvtec,1.0
153.png,1024,1024,PNG,RGB,mvtec,1.0
002-4.png,1024,1024,PNG,RGB,mvtec,1.0
003-4.png,1024,1024,PNG,RGB,mvtec,1.0
001-4.png,1024,1024,PNG,RGB,mvtec,1.0
000-4.png,1024,1024,PNG,RGB,mvtec,1.0
004-4.png,1024,1024,PNG,RGB,mvtec,1.0
005-4.png,1024,1024,PNG,RGB,mvtec,1.0
007-4.png,1024,1024,PNG,RGB,mvtec,1.0
006-4.png,1024,1024,PNG,RGB,mvtec,1.0
008-4.png,1024,1024,PNG,RGB,mvtec,1.0
009-4.png,1024,1024,PNG,RGB,mvtec,1.0
002-6.png,1024,1024,PNG,RGB,mvtec,1.0
016-2.png,1024,1024,PNG,RGB,mvtec,1.0
017-2.png,1024,1024,PNG,RGB,mvtec,1.0
003-6.png,1024,1024,PNG,RGB,mvtec,1.0
029-2.png,1024,1024,PNG,RGB,mvtec,1.0
015-2.png,1024,1024,PNG,RGB,mvtec,1.0
001-6.png,1024,1024,PNG,RGB,mvtec,1.0
000-6.png,1024,1024,PNG,RGB,mvtec,1.0
014-2.png,1024,1024,PNG,RGB,mvtec,1.0
028-2.png,1024,1024,PNG,RGB,mvtec,1.0
010-2.png,1024,1024,PNG,RGB,mvtec,1.0
004-6.png,1024,1024,PNG,RGB,mvtec,1.0
038-2.png,1024,1024,PNG,RGB,mvtec,1.0
039-2.png,1024,1024,PNG,RGB,mvtec,1.0
005-6.png,1024,1024,PNG,RGB,mvtec,1.0
011-2.png,1024,1024,PNG,RGB,mvtec,1.0
007-6.png,1024,1024,PNG,RGB,mvtec,1.0
013-2.png,1024,1024,PNG,RGB,mvtec,1.0
012-2.png,1024,1024,PNG,RGB,mvtec,1.0
006-6.png,1024,1024,PNG,RGB,mvtec,1.0
049-2.png,1024,1024,PNG,RGB,mvtec,1.0
048-2.png,1024,1024,PNG,RGB,mvtec,1.0
058-2.png,1024,1024,PNG,RGB,mvtec,1.0
059-2.png,1024,1024,PNG,RGB,mvtec,1.0
040-2.png,1024,1024,PNG,RGB,mvtec,1.0
054-2.png,1024,1024,PNG,RGB,mvtec,1.0
055-2.png,1024,1024,PNG,RGB,mvtec,1.0
041-2.png,1024,1024,PNG,RGB,mvtec,1.0
057-2.png,1024,1024,PNG,RGB,mvtec,1.0
043-2.png,1024,1024,PNG,RGB,mvtec,1.0
042-2.png,1024,1024,PNG,RGB,mvtec,1.0
056-2.png,1024,1024,PNG,RGB,mvtec,1.0
052-2.png,1024,1024,PNG,RGB,mvtec,1.0
046-2.png,1024,1024,PNG,RGB,mvtec,1.0
047-2.png,1024,1024,PNG,RGB,mvtec,1.0
053-2.png,1024,1024,PNG,RGB,mvtec,1.0
045-2.png,1024,1024,PNG,RGB,mvtec,1.0
051-2.png,1024,1024,PNG,RGB,mvtec,1.0
050-2.png,1024,1024,PNG,RGB,mvtec,1.0
044-2.png,1024,1024,PNG,RGB,mvtec,1.0
023-2.png,1024,1024,PNG,RGB,mvtec,1.0
037-2.png,1024,1024,PNG,RGB,mvtec,1.0
036-2.png,1024,1024,PNG,RGB,mvtec,1.0
022-2.png,1024,1024,PNG,RGB,mvtec,1.0
008-6.png,1024,1024,PNG,RGB,mvtec,1.0
034-2.png,1024,1024,PNG,RGB,mvtec,1.0
020-2.png,1024,1024,PNG,RGB,mvtec,1.0
021-2.png,1024,1024,PNG,RGB,mvtec,1.0
035-2.png,1024,1024,PNG,RGB,mvtec,1.0
009-6.png,1024,1024,PNG,RGB,mvtec,1.0
031-2.png,1024,1024,PNG,RGB,mvtec,1.0
025-2.png,1024,1024,PNG,RGB,mvtec,1.0
019-2.png,1024,1024,PNG,RGB,mvtec,1.0
018-2.png,1024,1024,PNG,RGB,mvtec,1.0
024-2.png,1024,1024,PNG,RGB,mvtec,1.0
030-2.png,1024,1024,PNG,RGB,mvtec,1.0
026-2.png,1024,1024,PNG,RGB,mvtec,1.0
032-2.png,1024,1024,PNG,RGB,mvtec,1.0
033-2.png,1024,1024,PNG,RGB,mvtec,1.0
027-2.png,1024,1024,PNG,RGB,mvtec,1.0
176-3.png,1000,1000,PNG,RGB,mvtec,1.0
162-3.png,1000,1000,PNG,RGB,mvtec,1.0
189-3.png,1000,1000,PNG,RGB,mvtec,1.0
002-14.png,1000,1000,PNG,RGB,mvtec,1.0
016-6.png,1000,1000,PNG,RGB,mvtec,1.0
200-3.png,1000,1000,PNG,RGB,mvtec,1.0
214-2.png,1000,1000,PNG,RGB,mvtec,1.0
215-2.png,1000,1000,PNG,RGB,mvtec,1.0
201-3.png,1000,1000,PNG,RGB,mvtec,1.0
017-6.png,1000,1000,PNG,RGB,mvtec,1.0
003-14.png,1000,1000,PNG,RGB,mvtec,1.0
188-3.png,1000,1000,PNG,RGB,mvtec,1.0
163-3.png,1000,1000,PNG,RGB,mvtec,1.0
177-3.png,1000,1000,PNG,RGB,mvtec,1.0
149-3.png,1000,1000,PNG,RGB,mvtec,1.0
161-3.png,1000,1000,PNG,RGB,mvtec,1.0
175-3.png,1000,1000,PNG,RGB,mvtec,1.0
029-4.png,1000,1000,PNG,RGB,mvtec,1.0
015-6.png,1000,1000,PNG,RGB,mvtec,1.0
001-14.png,1000,1000,PNG,RGB,mvtec,1.0
217-2.png,1000,1000,PNG,RGB,mvtec,1.0
203-3.png,1000,1000,PNG,RGB,mvtec,1.0
202-3.png,1000,1000,PNG,RGB,mvtec,1.0
216-2.png,1000,1000,PNG,RGB,mvtec,1.0
000-14.png,1000,1000,PNG,RGB,mvtec,1.0
014-6.png,1000,1000,PNG,RGB,mvtec,1.0
028-4.png,1000,1000,PNG,RGB,mvtec,1.0
174-3.png,1000,1000,PNG,RGB,mvtec,1.0
160-3.png,1000,1000,PNG,RGB,mvtec,1.0
148-3.png,1000,1000,PNG,RGB,mvtec,1.0
164-3.png,1000,1000,PNG,RGB,mvtec,1.0
170-3.png,1000,1000,PNG,RGB,mvtec,1.0
158-3.png,1000,1000,PNG,RGB,mvtec,1.0
010-7.png,1000,1000,PNG,RGB,mvtec,1.0
004-14.png,1000,1000,PNG,RGB,mvtec,1.0
038-4.png,1000,1000,PNG,RGB,mvtec,1.0
212-3.png,1000,1000,PNG,RGB,mvtec,1.0
206-3.png,1000,1000,PNG,RGB,mvtec,1.0
207-3.png,1000,1000,PNG,RGB,mvtec,1.0
213-2.png,1000,1000,PNG,RGB,mvtec,1.0
039-4.png,1000,1000,PNG,RGB,mvtec,1.0
005-14.png,1000,1000,PNG,RGB,mvtec,1.0
011-6.png,1000,1000,PNG,RGB,mvtec,1.0
159-3.png,1000,1000,PNG,RGB,mvtec,1.0
171-3.png,1000,1000,PNG,RGB,mvtec,1.0
165-3.png,1000,1000,PNG,RGB,mvtec,1.0
173-3.png,1000,1000,PNG,RGB,mvtec,1.0
167-3.png,1000,1000,PNG,RGB,mvtec,1.0
198-3.png,1000,1000,PNG,RGB,mvtec,1.0
007-14.png,1000,1000,PNG,RGB,mvtec,1.0
013-6.png,1000,1000,PNG,RGB,mvtec,1.0
205-3.png,1000,1000,PNG,RGB,mvtec,1.0
211-3.png,1000,1000,PNG,RGB,mvtec,1.0
210-3.png,1000,1000,PNG,RGB,mvtec,1.0
204-3.png,1000,1000,PNG,RGB,mvtec,1.0
012-6.png,1000,1000,PNG,RGB,mvtec,1.0
006-14.png,1000,1000,PNG,RGB,mvtec,1.0
199-3.png,1000,1000,PNG,RGB,mvtec,1.0
166-3.png,1000,1000,PNG,RGB,mvtec,1.0
172-3.png,1000,1000,PNG,RGB,mvtec,1.0
129-3.png,1000,1000,PNG,RGB,mvtec,1.0
115-3.png,1000,1000,PNG,RGB,mvtec,1.0
101-3.png,1000,1000,PNG,RGB,mvtec,1.0
049-4.png,1000,1000,PNG,RGB,mvtec,1.0
061-3.png,1000,1000,PNG,RGB,mvtec,1.0
075-3.png,1000,1000,PNG,RGB,mvtec,1.0
074-3.png,1000,1000,PNG,RGB,mvtec,1.0
060-3.png,1000,1000,PNG,RGB,mvtec,1.0
048-4.png,1000,1000,PNG,RGB,mvtec,1.0
100-3.png,1000,1000,PNG,RGB,mvtec,1.0
114-3.png,1000,1000,PNG,RGB,mvtec,1.0
128-3.png,1000,1000,PNG,RGB,mvtec,1.0
102-3.png,1000,1000,PNG,RGB,mvtec,1.0
116-3.png,1000,1000,PNG,RGB,mvtec,1.0
076-3.png,1000,1000,PNG,RGB,mvtec,1.0
062-3.png,1000,1000,PNG,RGB,mvtec,1.0
089-3.png,1000,1000,PNG,RGB,mvtec,1.0
088-3.png,1000,1000,PNG,RGB,mvtec,1.0
063-3.png,1000,1000,PNG,RGB,mvtec,1.0
077-3.png,1000,1000,PNG,RGB,mvtec,1.0
117-3.png,1000,1000,PNG,RGB,mvtec,1.0
103-3.png,1000,1000,PNG,RGB,mvtec,1.0
107-3.png,1000,1000,PNG,RGB,mvtec,1.0
113-3.png,1000,1000,PNG,RGB,mvtec,1.0
073-3.png,1000,1000,PNG,RGB,mvtec,1.0
067-3.png,1000,1000,PNG,RGB,mvtec,1.0
098-3.png,1000,1000,PNG,RGB,mvtec,1.0
099-3.png,1000,1000,PNG,RGB,mvtec,1.0
066-3.png,1000,1000,PNG,RGB,mvtec,1.0
072-3.png,1000,1000,PNG,RGB,mvtec,1.0
112-3.png,1000,1000,PNG,RGB,mvtec,1.0
106-3.png,1000,1000,PNG,RGB,mvtec,1.0
110-3.png,1000,1000,PNG,RGB,mvtec,1.0
104-3.png,1000,1000,PNG,RGB,mvtec,1.0
138-3.png,1000,1000,PNG,RGB,mvtec,1.0
064-3.png,1000,1000,PNG,RGB,mvtec,1.0
070-3.png,1000,1000,PNG,RGB,mvtec,1.0
058-4.png,1000,1000,PNG,RGB,mvtec,1.0
059-4.png,1000,1000,PNG,RGB,mvtec,1.0
071-3.png,1000,1000,PNG,RGB,mvtec,1.0
065-3.png,1000,1000,PNG,RGB,mvtec,1.0
139-3.png,1000,1000,PNG,RGB,mvtec,1.0
105-3.png,1000,1000,PNG,RGB,mvtec,1.0
111-3.png,1000,1000,PNG,RGB,mvtec,1.0
108-3.png,1000,1000,PNG,RGB,mvtec,1.0
134-3.png,1000,1000,PNG,RGB,mvtec,1.0
120-3.png,1000,1000,PNG,RGB,mvtec,1.0
068-3.png,1000,1000,PNG,RGB,mvtec,1.0
040-4.png,1000,1000,PNG,RGB,mvtec,1.0
054-4.png,1000,1000,PNG,RGB,mvtec,1.0
083-3.png,1000,1000,PNG,RGB,mvtec,1.0
097-3.png,1000,1000,PNG,RGB,mvtec,1.0
096-3.png,1000,1000,PNG,RGB,mvtec,1.0
082-3.png,1000,1000,PNG,RGB,mvtec,1.0
055-4.png,1000,1000,PNG,RGB,mvtec,1.0
041-4.png,1000,1000,PNG,RGB,mvtec,1.0
069-3.png,1000,1000,PNG,RGB,mvtec,1.0
121-3.png,1000,1000,PNG,RGB,mvtec,1.0
135-3.png,1000,1000,PNG,RGB,mvtec,1.0
109-3.png,1000,1000,PNG,RGB,mvtec,1.0
123-3.png,1000,1000,PNG,RGB,mvtec,1.0
137-3.png,1000,1000,PNG,RGB,mvtec,1.0
057-4.png,1000,1000,PNG,RGB,mvtec,1.0
043-4.png,1000,1000,PNG,RGB,mvtec,1.0
094-3.png,1000,1000,PNG,RGB,mvtec,1.0
080-3.png,1000,1000,PNG,RGB,mvtec,1.0
081-3.png,1000,1000,PNG,RGB,mvtec,1.0
095-3.png,1000,1000,PNG,RGB,mvtec,1.0
042-4.png,1000,1000,PNG,RGB,mvtec,1.0
056-4.png,1000,1000,PNG,RGB,mvtec,1.0
136-3.png,1000,1000,PNG,RGB,mvtec,1.0
122-3.png,1000,1000,PNG,RGB,mvtec,1.0
126-3.png,1000,1000,PNG,RGB,mvtec,1.0
132-3.png,1000,1000,PNG,RGB,mvtec,1.0
052-4.png,1000,1000,PNG,RGB,mvtec,1.0
046-4.png,1000,1000,PNG,RGB,mvtec,1.0
091-3.png,1000,1000,PNG,RGB,mvtec,1.0
085-3.png,1000,1000,PNG,RGB,mvtec,1.0
084-3.png,1000,1000,PNG,RGB,mvtec,1.0
090-3.png,1000,1000,PNG,RGB,mvtec,1.0
047-4.png,1000,1000,PNG,RGB,mvtec,1.0
053-4.png,1000,1000,PNG,RGB,mvtec,1.0
133-3.png,1000,1000,PNG,RGB,mvtec,1.0
127-3.png,1000,1000,PNG,RGB,mvtec,1.0
131-3.png,1000,1000,PNG,RGB,mvtec,1.0
125-3.png,1000,1000,PNG,RGB,mvtec,1.0
119-3.png,1000,1000,PNG,RGB,mvtec,1.0
045-4.png,1000,1000,PNG,RGB,mvtec,1.0
051-4.png,1000,1000,PNG,RGB,mvtec,1.0
079-3.png,1000,1000,PNG,RGB,mvtec,1.0
086-3.png,1000,1000,PNG,RGB,mvtec,1.0
092-3.png,1000,1000,PNG,RGB,mvtec,1.0
093-3.png,1000,1000,PNG,RGB,mvtec,1.0
087-3.png,1000,1000,PNG,RGB,mvtec,1.0
078-3.png,1000,1000,PNG,RGB,mvtec,1.0
050-4.png,1000,1000,PNG,RGB,mvtec,1.0
044-4.png,1000,1000,PNG,RGB,mvtec,1.0
118-3.png,1000,1000,PNG,RGB,mvtec,1.0
124-3.png,1000,1000,PNG,RGB,mvtec,1.0
130-3.png,1000,1000,PNG,RGB,mvtec,1.0
157-3.png,1000,1000,PNG,RGB,mvtec,1.0
143-3.png,1000,1000,PNG,RGB,mvtec,1.0
194-3.png,1000,1000,PNG,RGB,mvtec,1.0
180-3.png,1000,1000,PNG,RGB,mvtec,1.0
023-4.png,1000,1000,PNG,RGB,mvtec,1.0
037-4.png,1000,1000,PNG,RGB,mvtec,1.0
209-3.png,1000,1000,PNG,RGB,mvtec,1.0
208-3.png,1000,1000,PNG,RGB,mvtec,1.0
036-4.png,1000,1000,PNG,RGB,mvtec,1.0
022-4.png,1000,1000,PNG,RGB,mvtec,1.0
181-3.png,1000,1000,PNG,RGB,mvtec,1.0
195-3.png,1000,1000,PNG,RGB,mvtec,1.0
142-3.png,1000,1000,PNG,RGB,mvtec,1.0
156-3.png,1000,1000,PNG,RGB,mvtec,1.0
168-3.png,1000,1000,PNG,RGB,mvtec,1.0
140-3.png,1000,1000,PNG,RGB,mvtec,1.0
154-3.png,1000,1000,PNG,RGB,mvtec,1.0
183-3.png,1000,1000,PNG,RGB,mvtec,1.0
197-3.png,1000,1000,PNG,RGB,mvtec,1.0
008-13.png,1000,1000,PNG,RGB,mvtec,1.0
034-4.png,1000,1000,PNG,RGB,mvtec,1.0
020-5.png,1000,1000,PNG,RGB,mvtec,1.0
021-4.png,1000,1000,PNG,RGB,mvtec,1.0
035-4.png,1000,1000,PNG,RGB,mvtec,1.0
009-13.png,1000,1000,PNG,RGB,mvtec,1.0
196-3.png,1000,1000,PNG,RGB,mvtec,1.0
182-3.png,1000,1000,PNG,RGB,mvtec,1.0
155-3.png,1000,1000,PNG,RGB,mvtec,1.0
141-3.png,1000,1000,PNG,RGB,mvtec,1.0
169-3.png,1000,1000,PNG,RGB,mvtec,1.0
145-3.png,1000,1000,PNG,RGB,mvtec,1.0
151-3.png,1000,1000,PNG,RGB,mvtec,1.0
179-3.png,1000,1000,PNG,RGB,mvtec,1.0
186-3.png,1000,1000,PNG,RGB,mvtec,1.0
192-3.png,1000,1000,PNG,RGB,mvtec,1.0
031-4.png,1000,1000,PNG,RGB,mvtec,1.0
025-4.png,1000,1000,PNG,RGB,mvtec,1.0
019-5.png,1000,1000,PNG,RGB,mvtec,1.0
018-6.png,1000,1000,PNG,RGB,mvtec,1.0
024-4.png,1000,1000,PNG,RGB,mvtec,1.0
030-4.png,1000,1000,PNG,RGB,mvtec,1.0
193-3.png,1000,1000,PNG,RGB,mvtec,1.0
187-3.png,1000,1000,PNG,RGB,mvtec,1.0
178-3.png,1000,1000,PNG,RGB,mvtec,1.0
150-3.png,1000,1000,PNG,RGB,mvtec,1.0
144-3.png,1000,1000,PNG,RGB,mvtec,1.0
152-3.png,1000,1000,PNG,RGB,mvtec,1.0
146-3.png,1000,1000,PNG,RGB,mvtec,1.0
191-3.png,1000,1000,PNG,RGB,mvtec,1.0
185-3.png,1000,1000,PNG,RGB,mvtec,1.0
026-4.png,1000,1000,PNG,RGB,mvtec,1.0
032-4.png,1000,1000,PNG,RGB,mvtec,1.0
218-2.png,1000,1000,PNG,RGB,mvtec,1.0
